province,year,project_n,disclosure_completeness_proxy_mean,disclosure_fields_nonmissing_mean,项目概况_nonmissing_rate,项目概况_avg_len,合作范围_nonmissing_rate,合作范围_avg_len,批复意见_nonmissing_rate,批复意见_avg_len,is_exec_mean,is_proc_mean,is_prep_mean,fiscal_pass_mean,vfm_pass_mean,mechanism_proxy_status,source_file
吉林省,2022,3,1.0,3.0,1.0,225.33333333333334,1.0,75.33333333333333,1.0,11.0,0.0,1.0,0.0,1.0,1.0,candidate_project_level_proxy_not_registry_derived,C:\Users\陈楚玲\Desktop\ppp论文数据\codex项目\ppp论文数据\02_第9部分_最终可用内容\（补充）项目级建模底表\PPP_project_level_risk_model_data_v3_无泄漏严格版_标签统一_20260413_0912.csv
四川省,2012,1,1.0,3.0,1.0,264.0,1.0,152.0,1.0,3.0,1.0,0.0,0.0,1.0,1.0,candidate_project_level_proxy_not_registry_derived,C:\Users\陈楚玲\Desktop\ppp论文数据\codex项目\ppp论文数据\02_第9部分_最终可用内容\（补充）项目级建模底表\PPP_project_level_risk_model_data_v3_无泄漏严格版_标签统一_20260413_0912.csv
四川省,2013,3,0.8888888888888888,2.6666666666666665,1.0,291.3333333333333,0.6666666666666666,150.33333333333334,1.0,12.0,1.0,0.0,0.0,1.0,1.0,candidate_project_level_proxy_not_registry_derived,C:\Users\陈楚玲\Desktop\ppp论文数据\codex项目\ppp论文数据\02_第9部分_最终可用内容\（补充）项目级建模底表\PPP_project_level_risk_model_data_v3_无泄漏严格版_标签统一_20260413_0912.csv
四川省,2014,19,0.9649122807017543,2.8947368421052633,1.0,235.26315789473685,0.9473684210526315,172.6315789473684,0.9473684210526315,48.10526315789474,0.8947368421052632,0.05263157894736842,0.05263157894736842,0.9473684210526315,0.9473684210526315,candidate_project_level_proxy_not_registry_derived,C:\Users\陈楚玲\Desktop\ppp论文数据\codex项目\ppp论文数据\02_第9部分_最终可用内容\（补充）项目级建模底表\PPP_project_level_risk_model_data_v3_无泄漏严格版_标签统一_20260413_0912.csv
四川省,2015,128,1.0,3.0,1.0,253.9296875,1.0,178.8515625,1.0,49.953125,0.953125,0.0390625,0.0078125,1.0,1.0,candidate_project_level_proxy_not_registry_derived,C:\Users\陈楚玲\Desktop\ppp论文数据\codex项目\ppp论文数据\02_第9部分_最终可用内容\（补充）项目级建模底表\PPP_project_level_risk_model_data_v3_无泄漏严格版_标签统一_20260413_0912.csv
四川省,2016,165,0.9939393939393939,2.981818181818182,1.0,270.23636363636365,0.9939393939393939,170.03030303030303,0.9878787878787879,57.266666666666666,0.896969696969697,0.09696969696969697,0.006060606060606061,0.9878787878787879,0.9878787878787879,candidate_project_level_proxy_not_registry_derived,C:\Users\陈楚玲\Desktop\ppp论文数据\codex项目\ppp论文数据\02_第9部分_最终可用内容\（补充）项目级建模底表\PPP_project_level_risk_model_data_v3_无泄漏严格版_标签统一_20260413_0912.csv
四川省,2017,119,0.988795518207283,2.966386554621849,1.0,276.7563025210084,1.0,175.2016806722689,0.9663865546218487,49.23529411764706,0.8991596638655462,0.08403361344537816,0.01680672268907563,1.0,1.0,candidate_project_level_proxy_not_registry_derived,C:\Users\陈楚玲\Desktop\ppp论文数据\codex项目\ppp论文数据\02_第9部分_最终可用内容\（补充）项目级建模底表\PPP_project_level_risk_model_data_v3_无泄漏严格版_标签统一_20260413_0912.csv
四川省,2018,43,1.0,3.0,1.0,290.6046511627907,1.0,194.1860465116279,1.0,62.395348837209305,0.6744186046511628,0.32558139534883723,0.0,1.0,1.0,candidate_project_level_proxy_not_registry_derived,C:\Users\陈楚玲\Desktop\ppp论文数据\codex项目\ppp论文数据\02_第9部分_最终可用内容\（补充）项目级建模底表\PPP_project_level_risk_model_data_v3_无泄漏严格版_标签统一_20260413_0912.csv
四川省,2019,12,1.0,3.0,1.0,167.08333333333334,1.0,112.5,1.0,48.75,0.5833333333333334,0.4166666666666667,0.0,1.0,1.0,candidate_project_level_proxy_not_registry_derived,C:\Users\陈楚玲\Desktop\ppp论文数据\codex项目\ppp论文数据\02_第9部分_最终可用内容\（补充）项目级建模底表\PPP_project_level_risk_model_data_v3_无泄漏严格版_标签统一_20260413_0912.csv
四川省,2020,9,1.0,3.0,1.0,289.44444444444446,1.0,125.88888888888889,1.0,23.11111111111111,0.3333333333333333,0.6666666666666666,0.0,1.0,1.0,candidate_project_level_proxy_not_registry_derived,C:\Users\陈楚玲\Desktop\ppp论文数据\codex项目\ppp论文数据\02_第9部分_最终可用内容\（补充）项目级建模底表\PPP_project_level_risk_model_data_v3_无泄漏严格版_标签统一_20260413_0912.csv
