ln_invest,year,risk_text_count,项目概况_len,合作范围_len,批复意见_len,所在区域(省),所属行业(一级行业),所属行业(二级行业),运作方式,回报机制,采购方式,y_true,prob_Logistic,pred_Logistic,prob_RandomForest,pred_RandomForest,prob_XGBoost,pred_XGBoost,prob_LightGBM,pred_LightGBM,prob_CatBoost,pred_CatBoost,prob_Blending(RF+XGB+LGBM+CATB),pred_Blending(RF+XGB+LGBM+CATB)
22.26522972407679,2019,0,154,123,177,四川省,市政工程,垃圾处理,BOT,可行性缺口补助,公开招标,1,0.8083455455397979,1,0.19839428346788593,0,0.46041504,0,0.20702212905058937,0,0.2592229537727591,0,0.28126360044436394,0
25.703679283708837,2016,1,169,149,45,陕西省,市政工程,市政道路,BOT,政府付费,公开招标,0,0.1679471294033666,0,0.08108020269027,0,0.027563961,0,0.01643752758666387,0,0.04020100748053326,0,0.04132067474505874,0
22.32123827147354,2019,1,180,264,2,浙江省,其他,其他,ROT,可行性缺口补助,竞争性磋商,0,0.5388410002242748,1,0.1962735348179219,0,0.15370342,0,0.06500352764788524,0,0.1674512797670939,0,0.1456079408967987,0
25.04022047488992,2020,0,125,158,80,湖南省,市政工程,供水,BOT,可行性缺口补助,公开招标,1,0.733143665419398,1,0.3107900774911951,0,0.3599832,0,0.4616797692112156,0,0.47409516459399603,0,0.40163705427292373,0
26.74258871218522,2015,2,416,196,2,北京市,保障性安居工程,棚户区改造,BOT,可行性缺口补助,公开招标,0,0.11765495112274937,0,0.15707143551191108,0,0.02744476,0,0.026310726560582556,0,0.0406262417913794,0,0.06286329081191767,0
25.25505855314049,2014,0,46,69,2,四川省,保障性安居工程,棚户区改造,BOT,可行性缺口补助,公开招标,0,0.12182774467545839,0,0.18175089069746242,0,0.06747894,0,0.024558646319197092,0,0.05820495479788032,0,0.08299835792635032,0
25.00411264913188,2021,4,145,164,3,广西壮族自治区,城镇综合开发,园区开发,BOT,可行性缺口补助,公开招标,1,0.9278425320983184,1,0.5261726263364954,1,0.79075235,1,0.8603790899855716,1,0.7468849665723885,1,0.7310472585446206,1
22.995391722558843,2016,0,291,259,2,广西壮族自治区,市政工程,污水处理,BOT,政府付费,公开招标,0,0.22303161667127697,0,0.15737639959569769,0,0.05863174,0,0.051702868614631886,0,0.043165555177534856,0,0.07771914097458203,0
27.36081347242652,2018,1,363,42,2,四川省,城镇综合开发,园区开发,BOT,可行性缺口补助,公开招标,0,0.6274492143622395,1,0.1879524980764969,0,0.22376524,0,0.4252189608851109,0,0.19574645356258266,0,0.25817078791093,0
23.445539733376304,2019,2,264,370,61,河南省,市政工程,污水处理,BOT,政府付费,公开招标,1,0.732455427029419,1,0.2232680017657118,0,0.4058418,0,0.392612050915505,0,0.3517466955270502,0,0.3433671364496307,0
26.130706630517285,2017,1,483,295,12,新疆维吾尔自治区,市政工程,管网,BOT,可行性缺口补助,公开招标,0,0.15261288011018234,0,0.11318972719017599,0,0.021054052,0,0.011326374032285029,0,0.05092339189842624,0,0.049123386234337686,0
25.08103820045709,2016,2,253,483,0,浙江省,市政工程,污水处理,TOT+BOT,可行性缺口补助,竞争性磋商,0,0.06363789318624931,0,0.13356724308477258,0,0.066059336,0,0.060375245975192976,0,0.1139853119796829,0,0.09349678427647362,0
25.12383204671205,2016,1,228,214,4,江苏省,市政工程,市政道路,BOT,政府付费,公开招标,0,0.12411300514030726,0,0.08572870565963008,0,0.020399151,0,0.018832318630246616,0,0.03421805125366114,0,0.039794556728366785,0
26.02834528897853,2015,1,331,216,13,内蒙古自治区,市政工程,供水,ROT,使用者付费,邀请招标,0,0.23870042690044976,0,0.1514916555136626,0,0.055797055,0,0.0647734371960259,0,0.07045510052554667,0,0.08562931214972255,0
25.45318143159969,2016,2,243,101,27,吉林省,交通运输,一级公路,其他,政府付费,公开招标,0,0.15962294485197637,0,0.08564570713588654,0,0.038848672,0,0.04033802890915169,0,0.039165094902611594,0,0.0509993757524521,0
24.51048859358916,2017,8,301,478,10,甘肃省,市政工程,市政道路,其他,政府付费,公开招标,0,0.11593449989201855,0,0.11152212312722559,0,0.014319541,0,0.005097079245053585,0,0.03194671836946933,0,0.040721365418630764,0
23.407706172477745,2016,2,93,99,107,山东省,教育,义务教育,BOT,政府付费,公开招标,0,0.11542927620433996,0,0.10466844150076961,0,0.02257928,0,0.012599686540392783,0,0.03985583092404851,0,0.04492580990619182,0
24.36085199669911,2016,3,444,245,38,新疆维吾尔自治区,市政工程,其他,BOT,可行性缺口补助,公开招标,0,0.11545813877193167,0,0.12370011430580881,0,0.020830126,0,0.020578185021410525,0,0.049431104144391294,0,0.053634882487719665,0
25.94182545522154,2016,2,43,342,2,江西省,保障性安居工程,棚户区改造,BOT,可行性缺口补助,公开招标,0,0.05371311908634093,0,0.16395830110941884,0,0.04314003,0,0.04198597508178544,0,0.03828533598684495,0,0.07184241089384798,0
22.505984561690497,2019,0,338,73,2,黑龙江省,教育,教育,BOT,可行性缺口补助,公开招标,0,0.6491574387048946,1,0.2800664475969493,0,0.31105852,0,0.1477205804155385,0,0.34298479023618034,0,0.27045758487985505,0
