outcome,province_excluded,nobs,coef,se,pval,delta_vs_full_sample,abs_delta_vs_full_sample,sign_flip,sig_jump_5pct
ppp_quality_zindex,海南,253,0.5204986486666027,0.4660361376385601,0.27322109269981537,-0.002140011470933456,0.002140011470933456,False,False
ppp_quality_zindex,湖北,253,0.47488206734940475,0.43284263525430844,0.28161396469357214,-0.04775659278813138,0.04775659278813138,False,False
ppp_quality_zindex,湖南,254,0.544941365231946,0.45867571444662797,0.24444305559544016,0.022302705094409903,0.022302705094409903,False,False
ppp_quality_zindex,甘肃,253,0.5951581826274011,0.48115007939634485,0.22602946642582267,0.07251952248986493,0.07251952248986493,False,False
ppp_quality_zindex,福建,253,0.5277967113970741,0.4521733120296216,0.25262002332979283,0.0051580512595379435,0.0051580512595379435,False,False
ppp_quality_zindex,西藏,259,0.5199595955488286,0.44338138959796436,0.2504537529108516,-0.0026790645887074804,0.0026790645887074804,False,False
ppp_quality_zindex,贵州,253,0.6061837939704201,0.45940789135152216,0.19732861358422044,0.08354513383288398,0.08354513383288398,False,False
ppp_quality_zindex,辽宁,253,0.49875656885415276,0.4633913171251058,0.2906578549384719,-0.023882091283383367,0.023882091283383367,False,False
ppp_quality_zindex,重庆,253,0.4849737424903166,0.46429824277742593,0.3048690823073036,-0.03766491764721952,0.03766491764721952,False,False
ppp_quality_zindex,陕西,253,0.5221428175691523,0.4594712406455496,0.2650933286809229,-0.0004958425683838641,0.0004958425683838641,False,False
ppp_quality_zindex,青海,255,0.4800603529496,0.45600763034579805,0.301150391551858,-0.04257830718793615,0.04257830718793615,False,False
ppp_quality_zindex,黑龙江,253,0.21393944337885798,0.2385781168166,0.3772486752595057,-0.3086992167586782,0.3086992167586782,False,False
