province,year,city_n,treat_share,treated_city_count_implied,post,did_intensity,did_any,baseline_sample_5_3,baseline_controls_complete
海南,2022,3.0,0.0,0.0,1,0.0,0,1,1
湖北,2014,13.0,0.2307692307692307,3.0,0,0.0,0,1,1
湖北,2015,13.0,0.2307692307692307,3.0,0,0.0,0,1,1
湖北,2016,13.0,0.2307692307692307,3.0,1,0.2307692307692307,1,1,1
湖北,2017,13.0,0.2307692307692307,3.0,1,0.2307692307692307,1,1,1
湖北,2018,13.0,0.2307692307692307,3.0,1,0.2307692307692307,1,1,1
湖北,2019,14.0,0.2142857142857142,3.0,1,0.2142857142857142,1,1,1
湖北,2020,13.0,0.2307692307692307,3.0,1,0.2307692307692307,1,1,1
湖北,2021,13.0,0.2307692307692307,3.0,1,0.2307692307692307,1,1,1
湖北,2022,13.0,0.2307692307692307,3.0,1,0.2307692307692307,1,1,1
湖南,2014,13.0,0.2307692307692307,3.0,0,0.0,0,1,1
湖南,2015,13.0,0.2307692307692307,3.0,0,0.0,0,1,1
湖南,2016,13.0,0.2307692307692307,3.0,1,0.2307692307692307,1,1,1
湖南,2017,14.0,0.2142857142857142,3.0,1,0.2142857142857142,1,1,1
湖南,2018,14.0,0.2142857142857142,3.0,1,0.2142857142857142,1,1,1
湖南,2019,14.0,0.2142857142857142,3.0,1,0.2142857142857142,1,1,1
湖南,2020,14.0,0.2142857142857142,3.0,1,0.2142857142857142,1,1,1
湖南,2021,14.0,0.2142857142857142,3.0,1,0.2142857142857142,1,1,1
甘肃,2014,14.0,0.1428571428571428,2.0,0,0.0,0,1,1
甘肃,2015,14.0,0.1428571428571428,2.0,0,0.0,0,1,1
甘肃,2016,14.0,0.1428571428571428,2.0,1,0.1428571428571428,1,1,1
甘肃,2017,14.0,0.1428571428571428,2.0,1,0.1428571428571428,1,1,1
甘肃,2018,14.0,0.1428571428571428,2.0,1,0.1428571428571428,1,1,1
甘肃,2019,14.0,0.1428571428571428,2.0,1,0.1428571428571428,1,1,1
甘肃,2020,14.0,0.1428571428571428,2.0,1,0.1428571428571428,1,1,1
甘肃,2021,14.0,0.1428571428571428,2.0,1,0.1428571428571428,1,1,1
甘肃,2022,14.0,0.1428571428571428,2.0,1,0.1428571428571428,1,1,1
福建,2014,9.0,0.4444444444444444,4.0,0,0.0,0,1,1
福建,2015,9.0,0.4444444444444444,4.0,0,0.0,0,1,1
