province,year,doc_count,total_chars,total_sentences,A1_cnt,A1_idx,A1_share,A2_cnt,A2_idx,A2_share,A3_cnt,A3_idx,A3_share,B1_cnt,B1_idx,B1_share,B2_cnt,B2_idx,B2_share,B3_cnt,B3_idx,B3_share,C1_cnt,C1_idx,C1_share,C2_cnt,C2_idx,C2_share,C3_cnt,C3_idx,C3_share,D1_cnt,D1_idx,D1_share,D2_cnt,D2_idx,D2_share,D3_cnt,D3_idx,D3_share,A_cnt,A_idx,A_share,B_cnt,B_idx,B_share,C_cnt,C_idx,C_share,D_cnt,D_idx,D_share,z_A_idx,z_B_idx,z_C_idx,z_D_idx,ppp_governance_capacity_index,ppp_norm_risk_index,topic_0_share,topic_1_share,topic_2_share,topic_3_share,topic_4_share,topic_5_share,topic_6_share,topic_7_share,topic_8_share,topic_9_share,topic_10_share,topic_11_share,topic_12_share,topic_13_share,topic_14_share,topic_15_share,topic_16_share,topic_17_share,topic_18_share,topic_19_share,topic_20_share,topic_21_share,topic_22_share,topic_23_share,text_missing,text_observed
云南,2018.0,6,36287,384,83,22.87320528012787,0.0,19,5.236034943643729,0.0,273,75.23355471656515,0.0,4,1.1023231460302587,0.5,24,6.613938876181552,0.0,81,22.32204370711274,0.3333333333333333,767,211.3704632513021,0.0,48,13.227877752363105,0.0,245,67.51729269435334,0.1666666666666666,1,0.2755807865075647,0.0,11,3.031388651583212,0.0,74,20.392978201559785,0.0,375,103.34279494033674,0.0,109,30.038305729324552,0.8333333333333334,1060,292.1156336980186,0.1666666666666666,86,23.699947639650564,0.0,1.1690475744291629,-0.70087036997067,1.3701505101115743,-0.3772479153782336,0.6127759048566891,0.0973440749208902,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.1666666666666666,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0,1
云南,2019.0,2,7446,99,2,2.686005909213,0.0,0,0.0,0.0,5,6.715014773032501,0.0,4,5.372011818426,0.0,5,6.715014773032501,0.0,15,20.1450443190975,0.5,7,9.401020682245502,0.0,24,32.232070910556004,0.0,156,209.508460918614,0.5,0,0.0,0.0,2,2.686005909213,0.0,17,22.831050228310502,0.0,7,9.401020682245502,0.0,24,32.232070910556004,0.5,187,251.1415525114155,0.5,19,25.5170561375235,0.0,-0.4780641389817472,-0.6567929978991738,0.8817633520626044,-0.3256643794706451,-0.0843645949394388,-0.0335646751024048,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0,1
云南,2020.0,1,587,5,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,2,34.07155025553663,0.0,2,34.07155025553663,0.0,10,170.35775127768312,1.0,1,17.035775127768314,0.0,0,0.0,0.0,13,221.46507666098807,0.0,0,0.0,0.0,0,0.0,0.0,6,102.21465076660988,0.0,0,0.0,0.0,14,238.5008517887564,1.0,14,238.5008517887564,0.0,6,102.21465076660988,0.0,-0.6428952953659487,3.487582106276164,0.7310935695341909,1.8516041387308488,1.1919267934814686,2.023426604847068,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0,1
云南,2024.0,2,3398,5,5,14.714537963507944,0.0,1,2.942907592701589,0.0,6,17.657445556209534,0.5,3,8.828722778104767,0.5,3,8.828722778104767,0.0,1,2.942907592701589,0.0,2,5.885815185403178,0.0,2,5.885815185403178,0.0,23,67.68687463213655,0.0,1,2.942907592701589,0.0,0,0.0,0.0,0,0.0,0.0,12,35.31489111241907,0.5,7,20.60035314891112,0.5,27,79.45850500294291,0.0,1,2.942907592701589,0.0,-0.023707811752009,-0.8904987545576203,-1.164598475454449,-0.966492598263382,-0.6929350139213595,-1.0071966094251503,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1
内蒙古,2015.0,18,41135,574,33,8.022365382277865,0.0,6,1.4586118876868843,0.0,50,12.155099064057373,0.0555555555555555,23,5.591345569466391,0.5,68,16.530934727118026,0.0555555555555555,119,28.929135772456544,0.0555555555555555,78,18.9619545399295,0.0,77,18.718852558648354,0.1666666666666666,467,113.52862525829585,0.1666666666666666,7,1.7017138689680322,0.0,19,4.618937644341801,0.0,47,11.42579312021393,0.0,89,21.636076334022125,0.0555555555555555,210,51.05141606904096,0.6111111111111112,622,151.2094323568737,0.3333333333333333,73,17.746444633523762,0.0,-0.26354292477826,-0.2786726385329028,-0.309369255348794,-0.5462541890553231,-0.2838616062199857,-0.3780986943123399,0.0,0.0,0.0,0.0555555555555555,0.0,0.1111111111111111,0.0555555555555555,0.0555555555555555,0.0555555555555555,0.0,0.0,0.0,0.0,0.2777777777777778,0.1666666666666666,0.0,0.0,0.0,0.0,0.0555555555555555,0.0,0.0555555555555555,0.1111111111111111,0.0,0,1
内蒙古,2016.0,9,25908,479,17,6.561679790026247,0.0,1,0.385981164119191,0.0,52,20.07102053419793,0.0,22,8.491585610622202,0.4444444444444444,40,15.43924656476764,0.1111111111111111,86,33.19438011425042,0.1111111111111111,110,42.45792805311101,0.0,100,38.5981164119191,0.0,291,112.32051875868456,0.3333333333333333,4,1.543924656476764,0.0,31,11.96541608769492,0.0,50,19.29905820595955,0.0,70,27.01868148834337,0.0,148,57.12521228964027,0.6666666666666666,501,193.37656322371467,0.3333333333333333,85,32.808398950131235,0.0,-0.1691679561515114,-0.1566372547132356,0.193238359288062,-0.1186799070360281,-0.0441889505255616,-0.0273596008204005,0.0,0.0,0.0,0.1111111111111111,0.0,0.0,0.0,0.1111111111111111,0.0,0.0,0.0,0.0,0.0,0.4444444444444444,0.0,0.0,0.0,0.0,0.1111111111111111,0.0,0.0,0.0,0.0,0.2222222222222222,0,1
内蒙古,2017.0,4,10968,178,14,12.76440554339898,0.0,4,3.646973012399709,0.0,11,10.029175784099198,0.0,10,9.11743253099927,0.0,8,7.293946024799417,0.0,39,35.55798687089715,0.25,37,33.734500364697304,0.0,26,23.705324580598106,0.5,162,147.70240700218818,0.25,2,1.8234865061998544,0.0,3,2.735229759299781,0.0,23,20.97009482129832,0.0,29,26.440554339897883,0.0,57,51.96936542669584,0.25,225,205.1422319474836,0.75,28,25.52881108679796,0.0,-0.179304447670495,-0.2602290987564932,0.3334782705719281,-0.325330683464765,-0.0353517586183533,-0.0840271705497767,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.5,0.0,0,1
内蒙古,2018.0,1,410,5,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,4,97.5609756097561,1.0,1,24.390243902439025,0.0,4,97.5609756097561,0.0,10,243.90243902439025,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,4,97.5609756097561,1.0,15,365.8536585365853,0.0,0,0.0,0.0,-0.6428952953659487,0.6558025634149823,2.2490647736686715,-1.050034984234576,0.7539906805725684,0.6182774509496926,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0,1
内蒙古,2019.0,1,367,5,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,8,217.98365122615803,1.0,0,0.0,0.0,0,0.0,0.0,6,163.48773841961852,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,8,217.98365122615803,1.0,6,163.48773841961852,0.0,0,0.0,0.0,-0.6428952953659487,3.075348248796709,-0.1630190058744989,-1.050034984234576,0.7564779825187539,0.6207647528958782,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0,1
内蒙古,2020.0,2,2547,32,12,47.11425206124852,0.0,0,0.0,0.0,1,3.926187671770711,0.5,13,51.04043973301924,0.0,0,0.0,0.0,8,31.40950137416569,0.5,0,0.0,0.0,2,7.852375343541421,0.0,18,70.6713780918728,0.0,0,0.0,0.0,0,0.0,0.0,15,58.89281507656066,0.0,13,51.04043973301924,0.5,21,82.44994110718491,0.5,20,78.5237534354142,0.0,15,58.89281507656066,0.0,0.2520133521004226,0.3521899909056675,-1.1757401691380265,0.6217967444469162,-0.1905122753773121,-0.0672511445951475,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1
